k1,k2,k3,cost,success,ier,mesg,X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH
1.7768013467647836e-12,1.2492913868480655e-10,1.5426520066597105e-12,1542001.43657,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4648835752337.083,4.278190590243695,10.54654732105868,2.458406610100033e-10,3.244335211611066e-11
1.6120205290831276e-12,1.073343079658401e-10,1.6636829183257817e-12,1531867.35324,True,2,The relative error between two consecutive iterates is at most 0.000000,4630957005076.074,3.6211514690135744,11.530096519720548,2.428030057924627e-10,3.0583940446057325e-11
1.963544280046051e-12,1.2045465477895308e-10,1.4300725284079569e-12,1552023.44177,True,2,The relative error between two consecutive iterates is at most 0.000000,4465730367079.512,4.935511627964741,11.70201406462762,2.4252121965364543e-10,3.537573273760754e-11
1.943404535550787e-12,1.1974178111718883e-10,1.4516886867670817e-12,1549851.45015,True,2,The relative error between two consecutive iterates is at most 0.000000,4513467690198.9375,4.7338988360163015,10.77309157462187,2.407131391585257e-10,3.483762835163638e-11
1.6518719203290323e-12,1.1633063598886467e-10,1.9077765754502324e-12,1545792.96109,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4407651345311.499,3.3929967420776777,12.278934613413961,2.5875950197077233e-10,3.2744922896689e-11
1.6844361020054085e-12,1.3487343545793054e-10,1.409588104948329e-12,1539415.56179,True,2,The relative error between two consecutive iterates is at most 0.000000,4678042488154.885,4.963396366522854,13.30587204574416,2.55691933800572e-10,3.1591526997227834e-11
1.7279923817470509e-12,1.214960729961445e-10,1.4428036043157562e-12,1537961.3349,True,2,The relative error between two consecutive iterates is at most 0.000000,4636076094896.17,4.676230474483437,12.406106222842759,2.4580720417505227e-10,3.185667171225266e-11
1.94677523694156e-12,8.863990696214349e-11,1.4888467346399814e-12,1538958.42495,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4547017292991.722,4.072930014019057,10.08193100302633,2.2053598899220217e-10,3.410123490529705e-11
2.1030658419326515e-12,9.415267606208591e-11,1.6254357524301732e-12,1557247.89795,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4354553365083.698,3.81820554604993,12.586662001409664,2.2829608692469195e-10,3.714583864532778e-11
1.8616863712559615e-12,1.2903715029476896e-10,1.2525145825698912e-12,1555278.73355,True,2,The relative error between two consecutive iterates is at most 0.000000,4600864625448.461,4.9950686693349455,9.926333988171333,2.4191795483581366e-10,3.36998259248741e-11
2.3297583351110424e-12,1.050020123430446e-10,1.4105047772506906e-12,1574106.63224,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4258845638862.993,4.828553537547557,11.708306739379642,2.3050374826528623e-10,4.014551270803407e-11
1.770705536610748e-12,1.2023864235631712e-10,1.4790121206198371e-12,1540955.65083,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4676857404817.268,4.302138390642026,12.47058070929803,2.412174868743267e-10,3.217880650110152e-11
1.4366630182561925e-12,1.1545808530405205e-10,1.492249450720986e-12,1531058.72292,True,2,The relative error between two consecutive iterates is at most 0.000000,4898007441814.744,4.267849668672558,12.528149298052588,2.4858393317469553e-10,2.7547053134696262e-11
1.9005562133647046e-12,1.151397403073052e-10,1.2313995005629674e-12,1546939.4097,True,2,The relative error between two consecutive iterates is at most 0.000000,4360029277615.05,5.729584867063887,12.452264248567182,2.4377781577687164e-10,3.56383657225223e-11
1.8471432915413157e-12,1.2377362586770382e-10,1.1294596963636116e-12,1585030.44305,True,2,The relative error between two consecutive iterates is at most 0.000000,4589482284168.68,4.839259152595678,10.473758316619005,2.357128608957925e-10,3.3695146013955106e-11
1.7799389889600715e-12,1.1991262243065613e-10,1.5445297151303791e-12,1540558.20282,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4586324895250.994,4.365054779064725,8.56561101874412,2.449798855424382e-10,3.284303354494879e-11
2.196239018823347e-12,1.2748879264995437e-10,1.432078157377368e-12,1580652.59315,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4715107651390.829,3.542054465036195,11.971371746089808,2.2481488831313155e-10,3.577193398475636e-11
1.4582347638209293e-12,1.186212061508254e-10,1.4413210722185315e-12,1527231.4143,True,2,The relative error between two consecutive iterates is at most 0.000000,4707908907219.502,4.937647549922714,13.207592256224984,2.570235477074431e-10,2.8871373281715797e-11
1.437310498703708e-12,1.1540586338318314e-10,1.343312393501021e-12,1578084.81549,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4554528739150.626,4.267806171551272,12.628185103805945,2.5403171891938884e-10,2.9483353306206716e-11
1.56321035846333e-12,9.466310455304467e-11,1.4264592225697562e-12,1527412.26033,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4734200324553.898,4.466145881048052,11.506074132776602,2.318460487493893e-10,2.9148732163916445e-11
1.8016539052063876e-12,1.2073078358431439e-10,1.2159411425535194e-12,1555576.91514,True,2,The relative error between two consecutive iterates is at most 0.000000,4941163587118.038,4.799767992284875,8.004067399948838,2.2792816639769031e-10,3.0779280089038865e-11
