t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
7.400000000000002,6000.0,664.85,0.18,7.400000000000006,5995.592935877727,532.7197758648999,0.032037760354018494
7.600000000000001,5921.0,682.85,-0.82,7.600000000000005,5995.57508515456,531.9917705750756,0.026924261034384615
7.800000000000001,6032.0,692.85,1.18,7.800000000000004,5995.5603897206565,531.238201023056,0.022733748042785936
8.0,5960.0,729.85,-0.82,8.000000000000007,5995.517584982763,530.7532529349772,0.01928935587017479
8.200000000000003,5991.0,655.85,0.18,8.200000000000006,5995.469731889743,530.2989362408086,0.016451001832014086
8.400000000000002,6072.0,663.85,0.18,8.400000000000006,5995.439666382123,529.6709052701495,0.014103986373646769
8.600000000000001,5991.0,700.85,0.18,8.600000000000005,5995.424951001171,528.8994742035125,0.012155904587565674
8.8,5996.0,694.85,1.18,8.800000000000004,5995.412886409835,528.1106252867859,0.010531884269242578
9.0,5938.0,644.85,0.18,9.000000000000007,5995.372384300621,527.5919026298853,0.009172520685105412
9.200000000000003,5922.0,705.85,1.18,9.200000000000006,5995.326507902793,527.1085082579436,0.00803075392400818
9.400000000000002,6023.0,656.85,-0.82,9.400000000000006,5995.298083781178,526.4588786681076,0.007067456449061997
9.600000000000001,5827.0,662.85,1.18,9.600000000000005,5995.284728520833,525.6720475013811,0.006250877533616019
9.8,5931.0,636.85,0.18,9.800000000000004,5995.273817889903,524.8711323462311,0.005555081744561417
10.0,6012.0,658.85,0.18,10.000000000000007,5995.234384035057,524.3380265019628,0.0049594032608933705
10.200000000000003,5868.0,667.85,-0.82,10.200000000000006,5995.189450282536,523.8417436894512,0.004447378941899815
10.400000000000002,5937.0,656.85,2.18,10.400000000000006,5995.16179976275,523.1840020621974,0.004005107647229651
10.600000000000001,5979.0,648.85,0.18,10.600000000000005,5995.149074006057,522.3930359870714,0.0036211887874528694
10.8,5914.0,629.85,1.18,10.800000000000004,5995.138699499949,521.5895276455234,0.0032862044453474716
11.0,5943.0,698.85,0.18,11.000000000000007,5995.09980769234,521.0501372707346,0.002992571114974892
11.200000000000003,5897.0,670.85,-0.82,11.200000000000006,5995.055367674037,520.5478560493838,0.002734172834365303
11.400000000000002,5889.0,651.85,-0.82,11.400000000000006,5995.028107613753,519.8878162567846,0.002505765117902575
11.600000000000001,5942.0,676.85,0.18,11.600000000000005,5995.015683226938,519.0976338166154,0.0023029838621887013
11.8,5927.0,694.85,4.18,11.800000000000008,5995.005562246486,518.2957399563786,0.002122170106247662
12.0,5928.0,678.85,2.18,12.000000000000007,5994.966966448632,517.7537784274931,0.001960326335116478
12.200000000000003,6066.0,607.85,0.18,12.200000000000003,5994.922806064246,517.2487284428742,0.0018149883796113335
12.399999999999999,5997.0,675.85,1.18,12.400000000000006,5994.895750667065,516.5891426911976,0.0016840112512170576
12.600000000000001,6017.0,687.85,-0.82,12.600000000000009,5994.8834659166,515.8020935540872,0.0015655775096419637
12.800000000000004,5754.0,682.85,0.18,12.800000000000004,5994.873456668914,515.0038582680511,0.001458136071109133
13.0,5962.0,705.85,1.18,13.000000000000007,5994.835030475382,514.4612074944972,0.0013603871715396514
13.200000000000003,5997.0,686.85,-0.82,13.20000000000001,5994.791037585329,513.9550644192944,0.0012712364184372866
13.399999999999999,5988.0,671.85,0.18,13.400000000000006,5994.764088214006,513.2973637358883,0.0011897178661970606
13.600000000000001,5872.0,632.85,0.18,13.600000000000009,5994.751856135132,512.5146704037314,0.001114996776859764
13.800000000000004,6061.0,646.85,-0.82,13.800000000000004,5994.741881206242,511.72117216054977,0.0010463472401706943
14.0,6029.0,615.85,0.18,14.000000000000007,5994.703553865824,511.1788825315734,0.0009831458712445218
14.200000000000003,5966.0,716.85,0.18,14.20000000000001,5994.659664598412,510.67260415002636,0.0009248546272866516
14.399999999999999,5908.0,677.85,-0.82,14.400000000000006,5994.6327646066375,510.0175983840241,0.0008709928407744438
14.600000000000001,6077.0,650.85,0.18,14.600000000000009,5994.620534888664,509.23994399236875,0.0008211372803137523
14.800000000000004,6034.0,633.85,0.18,14.800000000000004,5994.610548983331,508.4517904113935,0.0007749134303172846
15.0,5975.0,654.85,1.18,15.000000000000007,5994.572278042408,507.91049680672876,0.0007319923696250059
15.200000000000003,5899.0,617.85,0.18,15.20000000000001,5994.528453498482,507.4046750193264,0.0006920839550559145
15.399999999999999,5872.0,677.85,-0.82,15.400000000000006,5994.501568299461,506.75285296715197,0.0006549263669254678
15.600000000000001,6068.0,634.85,0.18,15.600000000000009,5994.489310172609,505.9806381387824,0.0006202854036085387
15.800000000000004,6027.0,711.85,-0.82,15.800000000000004,5994.479285365681,505.19818683843584,0.0005879508047309753
