t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
-7.399999999999999,6028.0,-7.15,-0.82,-7.399999999999997,6040.7319587628845,0.0,0.0
-7.199999999999999,5922.0,-4.15,0.18,-7.1999999999999975,6040.731958762886,0.0,0.0
-7.0,6043.0,-11.15,-0.82,-6.999999999999998,6040.731958762886,0.0,0.0
-6.799999999999999,6098.0,-2.15,-0.82,-6.799999999999997,6040.731958762886,0.0,0.0
-6.6,6154.0,4.85,0.18,-6.599999999999998,6040.731958762886,0.0,0.0
-6.399999999999999,5936.0,-1.15,-0.82,-6.399999999999997,6040.7319587628845,0.0,0.0
-6.199999999999999,6122.0,3.85,-0.82,-6.1999999999999975,6040.731958762886,0.0,0.0
-6.0,6026.0,-2.15,-0.82,-5.9999999999999964,6040.7319587628845,0.0,0.0
-5.799999999999999,5930.0,-1.15,-0.82,-5.799999999999997,6040.7319587628845,0.0,0.0
-5.6,5997.0,-2.15,2.18,-5.599999999999998,6040.7319587628845,0.0,0.0
-5.399999999999999,6104.0,-7.15,0.18,-5.399999999999997,6040.7319587628845,0.0,0.0
-5.199999999999999,6071.0,3.85,-0.82,-5.1999999999999975,6040.731958762886,0.0,0.0
-5.0,5973.0,0.85,-0.82,-4.9999999999999964,6040.731958762886,0.0,0.0
-4.799999999999999,6013.0,-5.15,1.18,-4.799999999999997,6040.731958762886,0.0,0.0
-4.6,5961.0,4.85,0.18,-4.599999999999998,6040.731958762886,0.0,0.0
-4.399999999999999,6055.0,-1.15,0.18,-4.399999999999997,6040.731958762886,0.0,0.0
-4.199999999999999,5895.0,2.85,0.18,-4.1999999999999975,6040.731958762886,0.0,0.0
-4.0,5957.0,2.85,-0.82,-3.9999999999999964,6040.731958762887,0.0,0.0
-3.8000000000000007,6032.0,-9.15,2.18,-3.799999999999997,6040.731958762887,0.0,0.0
-3.599999999999998,5985.0,-12.15,1.18,-3.599999999999998,6040.731958762887,0.0,0.0
-3.3999999999999986,5948.0,3.85,1.18,-3.399999999999995,6040.731958762887,0.0,0.0
-3.1999999999999993,6008.0,-4.15,0.18,-3.1999999999999957,6040.731958762887,0.0,0.0
-3.0,5965.0,-0.15,-0.82,-2.9999999999999964,6040.731958762887,0.0,0.0
-2.8000000000000007,6108.0,-4.15,0.18,-2.799999999999997,6040.731958762887,0.0,0.0
-2.599999999999998,5956.0,-7.15,0.18,-2.599999999999998,6040.731958762888,0.0,0.0
-2.3999999999999986,5957.0,9.85,-0.82,-2.399999999999995,6040.731958762887,0.0,0.0
-2.1999999999999993,5969.0,-10.15,-0.82,-2.1999999999999957,6040.731958762888,0.0,0.0
-2.0,6116.0,-0.15,0.18,-1.9999999999999964,6040.731958762888,0.0,0.0
-1.8000000000000007,6074.0,-0.15,-0.82,-1.7999999999999972,6040.731958762887,0.0,0.0
-1.5999999999999979,6170.0,-0.15,-0.82,-1.5999999999999979,6040.731958762887,0.0,0.0
-1.3999999999999986,6235.0,1.85,-0.82,-1.399999999999995,6040.731958762887,0.0,0.0
-1.1999999999999993,6007.0,0.85,-0.82,-1.1999999999999957,6040.731958762887,0.0,0.0
-1.0,6115.0,1.85,0.18,-0.9999999999999964,6040.731958762887,0.0,0.0
-0.7999999999999972,5993.0,1.85,-0.82,-0.7999999999999972,6040.731958762887,0.0,0.0
-0.5999999999999979,5955.0,6.85,1.18,-0.5999999999999979,6040.731958762887,1.170040247551047e-84,1.5804247233634723e-22
-0.3999999999999986,6245.0,-5.15,0.18,-0.399999999999995,6040.7302701466615,0.0004921573155507989,0.8575327492920441
-0.1999999999999993,6031.0,6.85,1.18,-0.19999999999999574,6039.682347299616,1.5897186879016751,28.893925552986207
0.0,6100.0,2.85,49.18,3.552713678800501e-15,6032.835323480853,24.540997836861663,71.44257432110258
0.20000000000000284,6057.0,62.85,84.18,0.20000000000000284,6022.6170505944065,87.47209527058207,86.40781788614348
0.40000000000000213,6066.0,162.85,82.18,0.4000000000000057,6013.04658158585,173.81968857948445,83.81182518473356
0.6000000000000014,6003.0,235.85,79.18,0.600000000000005,6004.927285721888,263.4047434007992,74.44139492595619
0.8000000000000007,6031.0,366.85,84.18,0.8000000000000043,5998.164772482177,345.608530645162,63.35652585337778
1.0,6060.0,377.85,70.18,1.0000000000000036,5992.528970836857,416.8435027099251,52.64392898751169
1.2000000000000028,6013.0,474.85,34.18,1.2000000000000028,5987.875263136519,476.3440374558137,43.057604733960254
1.4000000000000021,5959.0,493.85,41.18,1.4000000000000057,5984.080511177117,524.8322793704923,34.84426483355308
1.6000000000000014,6031.0,507.85,32.18,1.600000000000005,5981.005003178939,563.8002953454926,27.991451344776753
1.8000000000000007,6028.0,564.85,25.18,1.8000000000000043,5978.510481845271,594.9247829568528,22.37756665442643
2.0,5927.0,604.85,27.18,2.0000000000000036,5976.4453034244825,619.97239930183,17.829366143582416
2.200000000000003,5978.0,645.85,7.18,2.200000000000003,5974.759400946184,639.8466182032574,14.163894203058712
2.400000000000002,6083.0,601.85,10.18,2.4000000000000057,5973.416804442396,655.2966324381321,11.227949784701659
2.6000000000000014,5984.0,670.85,16.18,2.600000000000005,5972.353826905687,667.1906284649616,8.888046846642641
2.8000000000000007,5921.0,649.85,7.18,2.8000000000000043,5971.500803006391,676.3639467572619,7.031211170394305
3.0,5871.0,605.85,5.18,3.0000000000000036,5970.767067209306,683.7282132581745,5.5611515120008175
3.200000000000003,5970.0,674.85,1.18,3.200000000000003,5970.1574910618,689.4190690533719,4.3975441709775165
3.400000000000002,6002.0,674.85,2.18,3.4000000000000057,5969.682877549664,693.5277051811603,3.4778296107113627
3.6000000000000014,5871.0,678.85,2.18,3.600000000000005,5969.31817896786,696.3700579546568,2.751784152934667
3.8000000000000007,5847.0,666.85,1.18,3.8000000000000043,5969.025819512618,698.3250651527924,2.179211577672135
4.0,6099.0,656.85,1.18,4.0000000000000036,5968.741671021098,699.9273072112813,1.7277425048035373
4.200000000000003,5913.0,678.85,0.18,4.200000000000006,5968.492363808431,701.0239057862008,1.371506015957153
4.400000000000002,5951.0,655.85,1.18,4.400000000000006,5968.306327738376,701.4752481015923,1.0903693078565626
4.600000000000001,5975.0,676.85,0.18,4.600000000000005,5968.1727492253,701.406480361135,0.8684333872230584
4.800000000000001,6084.0,652.85,2.18,4.800000000000004,5968.065564672427,701.0410163998476,0.6931224345931869
5.0,5967.0,682.85,1.18,5.0000000000000036,5967.930016239076,700.783494809458,0.5545116631206817
5.200000000000003,5965.0,647.85,0.18,5.200000000000006,5967.799999743762,700.392910214834,0.4448025318903713
