t,H2O2,HO2,OH
-20.0,6040.731958762886,0.0,0.0
-19.8,6040.731958762886,0.0,0.0
-19.6,6040.731958762887,0.0,0.0
-19.4,6040.731958762886,0.0,0.0
-19.2,6040.731958762886,0.0,0.0
-19.0,6040.731958762886,0.0,0.0
-18.8,6040.731958762886,0.0,0.0
-18.6,6040.731958762886,0.0,0.0
-18.4,6040.731958762887,0.0,0.0
-18.2,6040.731958762886,0.0,0.0
-18.0,6040.731958762887,0.0,0.0
-17.8,6040.731958762886,0.0,0.0
-17.6,6040.731958762886,0.0,0.0
-17.4,6040.731958762886,0.0,0.0
-17.2,6040.731958762886,0.0,0.0
-17.0,6040.7319587628845,0.0,0.0
-16.8,6040.7319587628845,0.0,0.0
-16.599999999999998,6040.731958762886,0.0,0.0
-16.4,6040.731958762887,0.0,0.0
-16.2,6040.731958762887,0.0,0.0
-16.0,6040.731958762887,0.0,0.0
-15.799999999999999,6040.731958762887,0.0,0.0
-15.599999999999998,6040.731958762887,0.0,0.0
-15.399999999999999,6040.731958762886,0.0,0.0
-15.2,6040.731958762886,0.0,0.0
-15.0,6040.731958762886,0.0,0.0
-14.799999999999999,6040.731958762886,0.0,0.0
-14.599999999999998,6040.731958762886,0.0,0.0
-14.399999999999999,6040.731958762886,0.0,0.0
-14.2,6040.731958762886,0.0,0.0
-14.0,6040.7319587628845,0.0,0.0
-13.799999999999999,6040.731958762886,0.0,0.0
-13.599999999999998,6040.731958762886,0.0,0.0
-13.399999999999999,6040.7319587628845,0.0,0.0
-13.2,6040.7319587628845,0.0,0.0
-12.999999999999998,6040.7319587628845,0.0,0.0
-12.799999999999999,6040.731958762886,0.0,0.0
-12.599999999999998,6040.731958762886,0.0,0.0
-12.399999999999999,6040.731958762886,0.0,0.0
-12.2,6040.731958762887,0.0,0.0
-11.999999999999998,6040.731958762887,0.0,0.0
-11.799999999999999,6040.731958762887,0.0,0.0
-11.599999999999998,6040.731958762887,0.0,0.0
-11.399999999999999,6040.731958762887,0.0,0.0
-11.199999999999998,6040.731958762887,0.0,0.0
-10.999999999999998,6040.731958762887,0.0,0.0
-10.799999999999999,6040.731958762887,0.0,0.0
-10.599999999999998,6040.731958762887,0.0,0.0
-10.399999999999999,6040.731958762887,0.0,0.0
-10.199999999999998,6040.731958762886,0.0,0.0
-9.999999999999998,6040.731958762886,0.0,0.0
-9.799999999999997,6040.731958762886,0.0,0.0
-9.599999999999998,6040.731958762887,0.0,0.0
-9.399999999999999,6040.731958762886,0.0,0.0
-9.199999999999998,6040.731958762886,0.0,0.0
-8.999999999999998,6040.7319587628845,0.0,0.0
-8.799999999999997,6040.7319587628845,0.0,0.0
-8.599999999999998,6040.731958762886,0.0,0.0
-8.399999999999999,6040.731958762886,0.0,0.0
-8.199999999999998,6040.731958762886,0.0,0.0
-7.999999999999998,6040.731958762886,0.0,0.0
-7.799999999999997,6040.731958762886,0.0,0.0
-7.599999999999998,6040.731958762886,0.0,0.0
-7.399999999999997,6040.7319587628845,0.0,0.0
-7.1999999999999975,6040.731958762886,0.0,0.0
-6.999999999999998,6040.731958762886,0.0,0.0
-6.799999999999997,6040.731958762886,0.0,0.0
-6.599999999999998,6040.731958762886,0.0,0.0
-6.399999999999997,6040.7319587628845,0.0,0.0
-6.1999999999999975,6040.731958762886,0.0,0.0
-5.9999999999999964,6040.7319587628845,0.0,0.0
-5.799999999999997,6040.7319587628845,0.0,0.0
-5.599999999999998,6040.7319587628845,0.0,0.0
-5.399999999999997,6040.7319587628845,0.0,0.0
-5.1999999999999975,6040.731958762886,0.0,0.0
-4.9999999999999964,6040.731958762886,0.0,0.0
-4.799999999999997,6040.731958762886,0.0,0.0
-4.599999999999998,6040.731958762886,0.0,0.0
-4.399999999999997,6040.731958762886,0.0,0.0
-4.1999999999999975,6040.731958762886,0.0,0.0
-3.9999999999999964,6040.731958762887,0.0,0.0
-3.799999999999997,6040.731958762887,0.0,0.0
-3.599999999999998,6040.731958762887,0.0,0.0
-3.399999999999995,6040.731958762887,0.0,0.0
-3.1999999999999957,6040.731958762887,0.0,0.0
-2.9999999999999964,6040.731958762887,0.0,0.0
-2.799999999999997,6040.731958762887,0.0,0.0
-2.599999999999998,6040.731958762888,0.0,0.0
-2.399999999999995,6040.731958762887,0.0,0.0
-2.1999999999999957,6040.731958762888,0.0,0.0
-1.9999999999999964,6040.731958762888,0.0,0.0
-1.7999999999999972,6040.731958762887,0.0,0.0
-1.5999999999999979,6040.731958762887,0.0,0.0
-1.399999999999995,6040.731958762887,0.0,0.0
-1.1999999999999957,6040.731958762887,0.0,0.0
-0.9999999999999964,6040.731958762887,0.0,0.0
-0.7999999999999972,6040.731958762887,0.0,0.0
-0.5999999999999979,6040.731958762887,1.170040247551047e-84,1.5804247233634723e-22
-0.399999999999995,6040.7302701466615,0.0004921573155507989,0.8575327492920441
-0.19999999999999574,6039.682347299616,1.5897186879016751,28.893925552986207
3.552713678800501e-15,6032.835323480853,24.540997836861663,71.44257432110258
0.20000000000000284,6022.6170505944065,87.47209527058207,86.40781788614348
0.4000000000000057,6013.04658158585,173.81968857948445,83.81182518473356
0.600000000000005,6004.927285721888,263.4047434007992,74.44139492595619
0.8000000000000043,5998.164772482177,345.608530645162,63.35652585337778
1.0000000000000036,5992.528970836857,416.8435027099251,52.64392898751169
1.2000000000000028,5987.875263136519,476.3440374558137,43.057604733960254
1.4000000000000057,5984.080511177117,524.8322793704923,34.84426483355308
1.600000000000005,5981.005003178939,563.8002953454926,27.991451344776753
1.8000000000000043,5978.510481845271,594.9247829568528,22.37756665442643
2.0000000000000036,5976.4453034244825,619.97239930183,17.829366143582416
2.200000000000003,5974.759400946184,639.8466182032574,14.163894203058712
2.4000000000000057,5973.416804442396,655.2966324381321,11.227949784701659
2.600000000000005,5972.353826905687,667.1906284649616,8.888046846642641
2.8000000000000043,5971.500803006391,676.3639467572619,7.031211170394305
3.0000000000000036,5970.767067209306,683.7282132581745,5.5611515120008175
3.200000000000003,5970.1574910618,689.4190690533719,4.3975441709775165
3.4000000000000057,5969.682877549664,693.5277051811603,3.4778296107113627
3.600000000000005,5969.31817896786,696.3700579546568,2.751784152934667
3.8000000000000043,5969.025819512618,698.3250651527924,2.179211577672135
4.0000000000000036,5968.741671021098,699.9273072112813,1.7277425048035373
4.200000000000006,5968.492363808431,701.0239057862008,1.371506015957153
4.400000000000006,5968.306327738376,701.4752481015923,1.0903693078565626
4.600000000000005,5968.1727492253,701.406480361135,0.8684333872230584
4.800000000000004,5968.065564672427,701.0410163998476,0.6931224345931869
5.0000000000000036,5967.930016239076,700.783494809458,0.5545116631206817
5.200000000000006,5967.799999743762,700.392910214834,0.4448025318903713
5.400000000000006,5967.709725041723,699.6600288846747,0.3578628234253254
5.600000000000005,5967.653100208474,698.6484553011046,0.2888659323016978
5.800000000000004,5967.607890396339,697.529538402437,0.23399974963608547
6.0000000000000036,5967.522512660163,696.6608263135181,0.19028498995581977
6.200000000000006,5967.433117964863,695.7782510478344,0.15540060421514898
6.400000000000006,5967.3756882586795,694.6546583853116,0.12749688701739248
6.600000000000005,5967.345663192084,693.3335368782166,0.10511573551130686
6.800000000000004,5967.322089936603,691.9672147950934,0.08710247957956928
7.0000000000000036,5967.254524325647,690.892625940284,0.07255867048963566
7.200000000000006,5967.179758995896,689.842952416781,0.060786851713759575
7.400000000000006,5967.13426536863,688.5892331618127,0.05122313899605816
7.600000000000005,5967.113990312684,687.1679110669729,0.043420961194819134
7.800000000000004,5967.098445508936,685.7227860377803,0.037024720464974424
8.000000000000007,5967.037670292915,684.5786992374814,0.03175762658494799
8.200000000000006,5966.968588290193,683.4723394493075,0.02740450523144794
8.400000000000006,5966.927754564207,682.1779066978921,0.023788771370100027
8.600000000000005,5966.911295070191,680.7289600049476,0.020769466783852865
8.800000000000004,5966.898922127945,679.2641811017571,0.018233368093939193
9.000000000000007,5966.840944054587,678.0992029677196,0.016091807966242926
9.200000000000006,5966.77425339587,676.9760900515674,0.014275328713275538
9.400000000000006,5966.735359852311,675.6736884997465,0.012726039358428037
9.600000000000005,5966.72046103523,674.2240387282391,0.0113971707500545
9.800000000000004,5966.709381836635,672.7618835696358,0.01025067764154235
10.000000000000007,5966.652625435879,671.5947448285026,0.00925637144757647
10.200000000000006,5966.587001557648,670.4705587584508,0.008390241057177809
10.400000000000006,5966.548933376474,669.1732091729386,0.007631951341079787
10.600000000000005,5966.5346534088285,667.7336925908437,0.006964797130231762
10.800000000000004,5966.52406766527,666.2832768143979,0.006374955659173868
11.000000000000007,5966.467845533655,665.1218924123546,0.005851229497206678
11.200000000000006,5966.402697927424,664.003402218961,0.005384507710084304
11.400000000000006,5966.36494897432,662.7167656499431,0.00496694897303566
11.600000000000005,5966.350852617788,661.2921185826264,0.004591976673199134
11.800000000000008,5966.34038335557,659.8574801605695,0.00425403626148835
12.000000000000007,5966.284363464511,658.7055126069921,0.003948508821593194
12.200000000000003,5966.2194009985315,657.5959177616488,0.0036715317945592275
12.400000000000006,5966.1817181649285,656.3226536047604,0.0034197295302341203
12.600000000000009,5966.167584875674,654.9150787438936,0.0031902070556229485
12.800000000000004,5966.15703807985,653.498106085445,0.002980466546518335
13.000000000000007,5966.1010451186985,652.3573792947153,0.0027883736171034597
13.20000000000001,5966.036111330643,651.2583049153042,0.0026120943210125483
13.400000000000006,5965.9983575501765,649.9997243594878,0.002450003974587529
13.600000000000009,5965.984067144541,648.6102657676294,0.0023006802911611094
13.800000000000004,5965.973335965044,647.2118456298748,0.0021628722742030437
14.000000000000007,5965.917270751477,646.0833075162569,0.002035485162130532
14.20000000000001,5965.852275812928,644.9956141247096,0.0019175565645626004
14.400000000000006,5965.814372428642,643.7523634259994,0.0018082241601851652
14.600000000000009,5965.799856079801,642.3814852446484,0.0017067202689833383
14.800000000000004,5965.788879005578,641.0019948242467,0.0016123591214781106
15.000000000000007,5965.732682645555,639.8861375041131,0.0015245294194022412
15.20000000000001,5965.667572545233,638.8102810361942,0.0014426844284174058
15.400000000000006,5965.629472723754,637.5826509499192,0.001366329702408908
15.600000000000009,5965.614689946415,636.2305043066077,0.0012950194016479316
15.800000000000004,5965.603430806627,634.8700425536802,0.0012283505382140087
16.000000000000007,5965.547067232767,633.7671045258443,0.0011659590378669763
16.20000000000001,5965.481808498176,632.7033129496286,0.0011075152041068992
16.400000000000006,5965.4434838411125,631.4913927694469,0.00105271860050556
16.60000000000001,5965.428410725892,630.1579504999698,0.0010012957211261967
16.800000000000004,5965.416848326875,628.8164560577096,0.000952997138793171
17.000000000000007,5965.360295175907,627.7265245958796,0.0009075953177066434
17.20000000000001,5965.294866802835,626.6748878592549,0.0008648823382185663
17.400000000000006,5965.256300165654,625.478645517714,0.0008246675292743814
17.60000000000001,5965.240922972824,624.1637737088229,0.0007867760341757382
17.800000000000004,5965.22904536305,622.84108928528,0.0007510472848287265
18.000000000000007,5965.172288791972,621.7641600213864,0.0007173337411266011
18.20000000000001,5965.106677577194,620.7246840655356,0.0006854996592687272
18.400000000000006,5965.067858891015,619.5440139713855,0.0006554198820811022
18.60000000000001,5965.052170305086,618.2475143641723,0.0006269789597198218
18.800000000000004,5965.039971412314,616.9434243636807,0.0006000702828859042
19.000000000000007,5964.983003088434,615.8794342063602,0.0005745953333775158
19.20000000000001,5964.9172009187005,614.8520703034649,0.0005504629764368323
19.400000000000006,5964.878124730731,613.6868200316717,0.0005275887895626536
19.60000000000001,5964.862121624751,612.4084543629347,0.000505894518794934
19.800000000000004,5964.849599216058,611.1227073351748,0.0004853075630422234
20.000000000000007,5964.792414428263,610.0715561820671,0.0004657605160150103
20.20000000000001,5964.72641654819,609.0562210936329,0.0004471907407351653
20.400000000000006,5964.687080452064,607.9062093298384,0.0004295399731305166
20.60000000000001,5964.6707624643905,606.6457153048327,0.00041275398066323933
20.80000000000001,5964.657916859521,605.3780379584468,0.0003967822442754926
21.000000000000007,5964.60051338414,604.3395998665983,0.00038157767125845417
21.20000000000001,5964.53431737365,603.3361855145163,0.00036709633023111066
21.400000000000006,5964.494721060835,602.2012113375066,0.0003532972060635104
21.60000000000001,5964.478089713347,600.958311542692,0.0003401419816073247
21.80000000000001,5964.464922957967,599.7084175792994,0.000327594835719596
22.000000000000007,5964.407300246111,598.6825509274219,0.0003156222590675424
22.20000000000001,5964.340905253462,597.6909343772992,0.00030419288431049327
22.400000000000006,5964.301049821426,596.5707858322987,0.00029327732933632757
22.60000000000001,5964.284107896352,595.3451950566548,0.00028284805502364437
22.80000000000001,5964.270623199762,594.1127914247952,0.0002728792338007524
23.000000000000007,5964.2127818808285,593.0993438372952,0.0002633466289539665
23.20000000000001,5964.146188172987,592.1193915276482,0.0002542274832050273
23.400000000000006,5964.106075705664,591.0138496664854,0.0002455004157475421
23.60000000000001,5964.088826853094,589.8052787761748,0.0002371453278136548
23.80000000000001,5964.075028221341,588.5900693772318,0.0002291433153046599
24.000000000000007,5964.016969757616,587.5888813875365,0.00022147658816179267
24.20000000000001,5963.950178397942,586.6204525933283,0.00021412839574829615
24.400000000000006,5963.909811667651,585.5292946180357,0.0002070829577409206
24.60000000000001,5963.892260129912,584.33745340596,0.0002003254003174899
24.80000000000001,5963.878152107927,583.1391418067549,0.00019384169698342352
25.000000000000007,5963.819878542697,582.1500498679181,0.00018761861374338195
25.20000000000001,5963.752891152672,581.1929996238747,0.00018164365821871504
25.400000000000006,5963.712273402976,580.1160014005294,0.00017590503239506015
25.60000000000001,5963.694423816729,578.9406007423521,0.00017039158878526226
25.80000000000001,5963.680011300739,577.7588923053668,0.00016509278967148373
26.000000000000007,5963.62152505571,576.7817318063135,0.0001599986692113645
