t,H2O2,OH,HO2
-7.200000000000001,525000000000000.0,0.0,0.0
-7.000000000000002,525000000000000.0,0.0,0.0
-6.800000000000001,525000000000000.0,0.0,0.0
-6.600000000000001,525000000000000.0,0.0,0.0
-6.4,524999999999999.9,0.0,0.0
-6.200000000000001,525000000000000.0,0.0,0.0
-6.000000000000002,524999999999999.9,0.0,0.0
-5.800000000000001,524999999999999.9,0.0,0.0
-5.600000000000001,524999999999999.9,0.0,0.0
-5.4,524999999999999.9,0.0,0.0
-5.200000000000001,525000000000000.0,0.0,0.0
-5.000000000000002,525000000000000.0,0.0,0.0
-4.800000000000001,525000000000000.0,0.0,0.0
-4.600000000000001,525000000000000.0,0.0,0.0
-4.400000000000002,525000000000000.0,0.0,0.0
-4.200000000000001,525000000000000.0,0.0,0.0
-4.000000000000002,525000000000000.1,0.0,0.0
-3.8000000000000007,525000000000000.1,0.0,0.0
-3.6000000000000014,525000000000000.1,0.0,0.0
-3.400000000000002,525000000000000.1,0.0,0.0
-3.200000000000003,525000000000000.1,0.0,0.0
-3.0,525000000000000.1,0.0,0.0
-2.8000000000000007,525000000000000.1,0.0,0.0
-2.6000000000000014,525000000000000.2,0.0,0.0
-2.400000000000002,525000000000000.1,0.0,0.0
-2.200000000000003,525000000000000.2,0.0,0.0
-2.0,525000000000000.2,0.0,0.0
-1.8000000000000007,525000000000000.1,0.0,0.0
-1.6000000000000014,525000000000000.1,0.0,0.0
-1.4000000000000021,525000000000000.1,0.0,0.0
-1.2000000000000028,525000000000000.1,0.0,0.0
-1.0,525000000000000.1,0.0,0.0
-0.8000000000000007,525000000000000.1,0.0,0.0
-0.6000000000000014,525000000000000.1,2.9282781735521862e-12,2.9837759963332633e-75
-0.40000000000000213,524999913277479.3,15888058863.203106,1256048.2424705909
-0.20000000000000284,524946088800917.2,535470764944.5176,4078962885.381915
0.0,524594308088572.3,1325986708987.198,63471015443.576065
0.1999999999999993,524068857189487.9,1609869983425.279,228549989806.77325
0.3999999999999986,523575570008730.0,1571567284900.1873,459313113429.89874
0.5999999999999979,523155217073625.7,1408224830546.1636,703997384798.3098
0.7999999999999972,522802760886362.7,1211616083466.8884,933844751170.3923
1.0,522506483202499.7,1019396279125.3942,1137921628814.1245
1.1999999999999993,522259332850696.8,845237015997.6448,1312552403273.2808
1.3999999999999986,522055462035337.6,694020260438.5039,1458311630838.2878
1.5999999999999979,521888137207423.3,566045686352.7448,1578283873652.0894
1.7999999999999972,521750610965351.5,459667335213.0591,1676441830520.008
1.9999999999999964,521635296261883.6,372153923586.96545,1757385768633.8354
2.1999999999999993,521539908591228.7,300444763483.48596,1823218043180.5332
2.3999999999999986,521462817915321.1,242030222186.56683,1875763074920.6704
2.599999999999998,521400827281887.8,194680791275.10104,1917404371059.8215
2.799999999999997,521350341544160.1,156482148719.75192,1950561722458.7378
2.9999999999999964,521306568554603.4,125736832504.7749,1978023668207.8315
3.1999999999999993,521269823554807.0,100976197466.4209,2000075969243.9226
3.3999999999999986,521240712711991.0,81067551448.98453,2016909015026.2676
3.599999999999998,521217886628504.8,65085642061.495445,2029501159976.534
3.799999999999997,521199302180535.9,52278867591.81461,2039074074603.857
3.9999999999999964,521181466373817.6,42020826743.02189,2047400127794.6626
4.199999999999999,521165796123722.9,33793903228.93992,2053945249294.9507
4.399999999999999,521153804370687.5,27197670789.9096,2058228227697.523
4.599999999999998,521144878016840.8,21910518038.842194,2060668656743.786
4.799999999999997,521137577473829.3,17674201459.2893,2062025581213.228
4.9999999999999964,521128907203694.3,14278439602.567972,2063680978165.5552
5.199999999999999,521120683247947.2,11552843886.72836,2064818191192.0989
5.399999999999999,521114741362937.4,9363993995.32661,2064728362406.7598
5.599999999999998,521110733124971.1,7605180097.706703,2063632908132.4937
5.799999999999997,521107435937204.8,6190880452.100584,2062123074281.5007
5.9999999999999964,521102035489781.1,5052340831.136099,2061431197432.332
