X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH,cost,success,ier,mesg
4738551152059.97,4.37781956485016,10.241169026519174,2.326866634945406e-10,3.495060425014588e-11,1316496.9194,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4722083615383.65,4.1171717509242125,9.322543779466555,2.3133779181885333e-10,3.28209125183227e-11,1197879.94119,True,2,The relative error between two consecutive iterates is at most 0.000000
4456719336830.978,4.542677609886959,9.763398603757281,2.421481243053205e-10,3.39837209603493e-11,1740654.73784,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4287421445575.9243,4.367287341763058,11.325933470274238,2.464473836543991e-10,3.353467536649999e-11,1475348.96003,True,2,The relative error between two consecutive iterates is at most 0.000000
4918824600931.919,4.113522271259239,9.617847073102263,2.274179530080296e-10,2.925059283612588e-11,1460470.62532,True,2,The relative error between two consecutive iterates is at most 0.000000
4535660926080.501,4.375935038343663,9.882564401726944,2.385605660653607e-10,3.3929668476220753e-11,1461805.92208,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4412569205511.827,4.29860382983216,10.936162186352078,2.4116106894800073e-10,3.804247041255631e-11,1563303.62983,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4501797743113.078,4.632800259054282,10.195148618969673,2.400463873122197e-10,3.074220931079635e-11,1546880.72266,True,2,The relative error between two consecutive iterates is at most 0.000000
4333147117662.539,4.897654374449766,10.824677733376184,2.4770760634660066e-10,2.9962210046562386e-11,1521870.53512,True,2,The relative error between two consecutive iterates is at most 0.000000
4612759868860.047,4.485792408442604,8.401450543183246,2.35232319019816e-10,3.306718970440741e-11,1443456.13921,True,2,The relative error between two consecutive iterates is at most 0.000000
4617041888910.695,4.571377094271366,9.118705152062109,2.353609270428886e-10,3.3627747256509176e-11,1515358.11884,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4978407446468.918,4.398876636354538,11.135136382069632,2.2824370573883454e-10,3.5454749557956225e-11,1543955.9781,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4901735863029.985,4.168634280780785,9.768868811998649,2.2720928094538403e-10,3.195065376711628e-11,1670473.15666,True,2,The relative error between two consecutive iterates is at most 0.000000
4669986839083.773,4.417366616626228,11.450779843850995,2.342599852668205e-10,3.1647171714712604e-11,1482747.4593,True,2,The relative error between two consecutive iterates is at most 0.000000
4726032540725.925,4.620678135941844,10.10632783663627,2.355567106988153e-10,3.20326824165703e-11,1527440.47786,True,2,The relative error between two consecutive iterates is at most 0.000000
4626527272496.37,4.291731797369201,10.75697484299354,2.3576261146214065e-10,2.097405291607986e-11,1568661.87733,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4406889869596.753,4.689810386609549,11.17572033133759,2.446325930522567e-10,3.296932114274487e-11,1653721.46046,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4611428831950.125,4.678548735676999,9.818505721590148,2.3761476687586975e-10,3.093186484832418e-11,1501879.24812,True,2,The relative error between two consecutive iterates is at most 0.000000
4898185963678.579,4.10418234802881,10.388060758047333,2.26469479544369e-10,3.125696608384231e-11,1656612.81533,True,2,The relative error between two consecutive iterates is at most 0.000000
